function,exec time (s),total,total (normalised),lag time (s),lag,lag (normalised),total + lag (normalised),stdev power,avg power
tensorflow.compat.v1.lite.TFLiteConverter.from_keras_model_file.convert,0.71,24.29,0.13,19.52,727.03,36.84,36.97,nan,17.34
tensorflow.profiler.experimental.start,0.53,20.88,-0.02,17.42,653.16,29.0,28.98,nan,17.39
tensorflow.keras.applications.MobileNet,2.06,145.64,15.01,15.42,948.35,39.73,54.74,3.32,35.32
tensorflow.data.TFRecordDataset.map,2.92,162.4,62.24,16.32,663.94,84.08,146.32,8.95,28.07
tensorflow.estimator.DNNClassifier,0.68,24.71,0.32,17.22,670.68,55.95,56.27,nan,17.54
tensorflow.estimator.DNNClassifier.evaluate,0.71,28.03,0.24,17.42,657.78,36.19,36.43,nan,17.48
tensorflow.nn.avg_pool,0.78,36.31,1.78,19.42,719.43,32.51,34.3,1.24,18.16
tensorflow.keras.applications.MobileNetV2.predict,3.27,156.44,38.66,17.42,652.75,32.73,71.38,3.3,23.01
tensorflow.data.experimental.CsvDataset,0.7,28.28,0.55,17.92,675.74,38.31,38.86,nan,17.59
tensorflow.lite.TFLiteConverter.from_keras_model.convert,3.47,200.33,75.45,19.83,751.4,49.52,124.96,5.12,24.37
tensorflow.keras.layers.StringLookup.adapt,222.22,10352.08,2633.31,19.73,730.13,29.06,2662.37,0.34,23.32
tensorflow.keras.layers.TextVectorization.adapt,369.97,18048.21,2691.21,17.02,645.46,39.09,2730.3,1.91,24.78
tensorflow.keras.Model.normalized_timestamp.adapt,2.26,102.05,21.98,17.02,647.16,38.18,60.16,3.66,22.23
tensorflow.keras.Model.title_text_embedding.layers[0].adapt,395.33,18502.68,4808.7,20.03,747.09,36.19,4844.89,0.4,23.43
tensorflow.keras.models.Sequential.numpy,0.77,33.66,2.37,17.72,662.71,30.49,32.86,nan,18.54
tensorflow.compat.v1.distribute.MirroredStrategy,0.63,29.21,0.18,17.22,792.1,30.41,30.6,nan,22.26
tensorflow.keras.estimator.model_to_estimator.train,9.3,537.66,216.77,18.32,689.36,40.92,257.69,7.33,28.91
tensorflow.estimator.LinearClassifier.train,1.1,37.43,2.97,19.62,731.7,39.21,42.18,2.12,18.72
tensorflow.estimator.LinearClassifier.evaluate,2.07,86.94,17.77,17.72,671.53,42.13,59.91,3.42,21.74
tensorflow.keras.datasets.cifar10.load_data,0.9,37.53,2.79,0.6,46.26,8.18,10.97,nan,18.24
tensorflow.estimator.LinearClassifier.train.evaluate,1.59,67.98,12.85,21.73,816.69,52.2,65.05,4.05,21.25
tensorflow.estimator.LinearRegressor.train,2.72,157.68,58.0,18.52,727.34,74.21,132.21,8.61,27.32
tensorflow.estimator.LinearRegressor.evaluate,0.92,38.43,4.08,22.23,833.89,54.35,58.43,2.93,19.21
tensorflow.compat.v1.estimator.DNNClassifier.train,2.04,88.8,18.79,19.52,749.78,50.5,69.29,3.94,22.2
tensorflow.keras.Model.evaluate,1.33,52.78,7.06,15.72,597.02,32.37,39.43,3.23,20.24
method-level (sum),1028.99,49000.41,10693.19,440.65,17208.49,1032.36,11725.55,63.86,548.66
